,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
0,2-s2.0-85185402647,10.1016/j.cie.2024.109979,S0360835224001001,,Multi-objective simulation-optimization for integrated automated storage and retrieval systems planning considering energy consumption,ar,Article,Rizqi Z.U.,60027709,National Taiwan University of Science and Technology,Taipei,Taiwan,3,"Rizqi, Zakka Ugih;Chou, Shuo Yan;Khairunisa, Adinda",57209291775;58894489800;57215004774,60027709;60027709;60027709,2024-03-01,March 2024,Computers and Industrial Engineering,03608352,18164,,Journal,189,,109979,,"An Automated Storage and Retrieval System (AS/RS) is one of modern technologies in warehouse operation. Despite many advantages offered by AS/RS such as improving accuracy, efficiency, and safety, AS/RS operation is very complex started from strategical, tactical, to operational level. Reaching optimal combination for all decisions become important. However, due to the dynamic and combinatorial complexity as well as uncertainty in supply – demand, it cannot be solved through the general mathematical optimization. Therefore, this study introduces simulation–optimization (SO) framework for integrated AS/RS planning considering 7 decisions at a time. Furthermore, a comprehensive mathematical model for measuring AS/RS energy consumption is formulated. The proposed framework is implemented in the China's warehouse company for optimizing multi-objective namely energy consumption and travel time per unit. Non-dominated Sorting Genetic Algorithm II (NSGA-II) is developed as metaheuristics algorithm and discrete-event simulation is modeled based on FlexSim. The results produce non-dominated solutions that are further summarized through clustering algorithm resulting in 4 different clusters with significantly different impacts. This study provides insightful analysis and managerial implications for reaching near-global optimum in AS/RS planning towards green operation.",Automated Storage and Retrieval System | Energy | Optimization | Simulation | Warehouse,0,0,,,,undefined,
1,2-s2.0-85130024733,10.1108/JFM-11-2021-0145,,,AS/R system travel time in class-based storage with different input-output point levels: a proposed formula,ar,Article,Hoshimov A.,60112930;60012162,Turin Polytechnic University in Tashkent;Politecnico di Torino,Tashkent;Turin,Uzbekistan;Italy,5,"Hoshimov, Abror;Cagliano, Anna Corinna;Mangano, Giulio;Schenone, Maurizio;Grimaldi, Sabrina",57222624912;36914703000;42461880200;57114876300;15848518000,60112930;60012162;60012162;60012162;60012162,2024-01-08,8 January 2024,Journal of Facilities Management,14725967,21100814509,17410983,Journal,22,1,,108-123,"Purpose: This paper aims to propose a simulation model integrated with an empirical regression analysis to provide a new mathematical formulation for automated storage and retrieval system (AS/RS) travel time estimation under class-based storage and different input/output (I/O) point vertical levels. Design/methodology/approach: A simulation approach is adopted to compute the travel time under different warehouse scenarios. Simulation runs with several I/O point levels and multiple shape factor values. Findings: The proposed model is extremely precise for both single command (SC) and dual command (DC) cycles and very well fitted for a reliable computation of travel times. Research limitations/implications: The proposed mathematical formulation for estimating the AS/RS travel time advances widely applied methodologies existing in literature. As well as, it provides a practical implication by supporting faster and more accurate travel time computations for both SC and DC cycles. However, the regression analysis is conducted based on simulated data and can be refined by numerical values coming from real warehouses. Originality/value: This work provides a new simulation model and a refined mathematical equation to estimate AS/RS travel time.",AS/RS | Class-based storage | Regression analysis | Simulation | Travel time | Warehousing systems,1,0,,,,undefined,
2,2-s2.0-85160079572,10.1063/5.0143069,,,Flexible manufacturing system with industry 4.0,cp,Conference Paper,Padhi S.N.,60108710;60079446;123748398;111745109,Vignan Institute of Information Technology;K L Deemed to be University;Lakkireddy Bali Reddy College of Engineering;Gyan Ganga Institute of Technology and Sciences,Visakhapatnam;Vaddeswaram;Mylavaram;Jabalpur,India;India;India;India,6,"Padhi, S. Narayana;Rao, M. Nageswara;Reddy, M. Bala Satya Sreekara;Rakesh, K.;Savitri, V.;Kumar, D. Sandeep",57205330624;57696114800;57632049400;57697979900;57215777236;57190937082,60079446;60079446;123748398;60079446;60108710;111745109,2023-05-09,9 May 2023,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2707,,040008,,"Concert of machines and AGVs are assessed by using priority rules like RISA rule to find out the operational completion time for considering 40 problems with travel time by process time is less than 0.25 by assuming travel time half and process time triple. The experiments are conducted by considering various factors of AGVs and machines scheduling in flexible manufacturing system (FMS). AGVs and Machine scheduling rules, computer model is designed like JAVA programming.",Artificial Intelligence | AS/Rs | Machine Schedule | Vehicle Schedule,0,0,,,,undefined,
3,2-s2.0-85178245429,10.3389/fncel.2023.1267687,,,Activity-dependent ectopic action potentials in regular-spiking neurons of the neocortex,ar,Article,Zhang Y.Z.,60023653;60011460;60009796,National Institute of Dental and Craniofacial Research (NIDCR);Brown University;The Warren Alpert Medical School,Bethesda;Providence;Providence,United States;United States;United States,6,"Zhang, Yizhen Z.;Sapantzi, Stella;Lin, Alice;Doelfel, Savannah R.;Connors, Barry W.;Theyel, Brian B.",58131494700;58730287300;58732734200;57266171800;7005855074;57207898588,60011460-60023653;60011460;60011460;60011460;60011460;60011460-60009796,2023-01-01,2023,Frontiers in Cellular Neuroscience,16625102,19700175163,,Journal,17,,1267687,,"Introduction: Action potentials usually travel orthodromically along a neuron’s axon, from the axon initial segment (AIS) toward the presynaptic terminals. Under some circumstances action potentials also travel in the opposite direction, antidromically, after being initiated at a distal location. Given their initiation at an atypical site, we refer to these events as “ectopic action potentials.” Ectopic action potentials (EAPs) were initially observed in pathological conditions including seizures and nerve injury. Several studies have described regular-spiking (RS) pyramidal neurons firing EAPs in seizure models. Under nonpathological conditions, EAPs were reported in a few populations of neurons, and our group has found that EAPs can be induced in a large proportion of parvalbumin-expressing interneurons in the neocortex. Nevertheless, to our knowledge there have been no prior reports of ectopic firing in the largest population of neurons in the neocortex, pyramidal neurons, under nonpathological conditions. Methods: We performed in vitro recordings utilizing the whole-cell patch clamp technique. To elicit EAPs, we triggered orthodromic action potentialswith either long, progressively increasing current steps, or with trains of brief pulses at 30, 60, or 100 Hz delivered in 3 different ways, varying in stimulus and resting period duration. Results: We found that a large proportion (72.7%) of neocortical RS cells from mice can fire EAPs after a specific stimulus in vitro, and that most RS cells (56.1%) are capable of firing EAPs across a broad range of stimulus conditions. Of the 37 RS neurons in which we were able to elicit EAPs, it took an average of 863.8 orthodromic action potentials delivered over the course of an average of ~81.4 s before the first EAP was seen. We observed that some cells responded to specific stimulus frequencies while less selective, suggesting frequency tuning in a subset of the cells. Discussion: Our findings suggest that pyramidal cells can integrate information over long time-scales before briefly entering a mode of self-generated firing that originates in distal axons. The surprising ubiquity of EAP generation in RS cells raises interesting questions about the potential roles of ectopic spiking in information processing, cortical oscillations, and seizure susceptibility.",action potential | backpropagating action potential | ectopic | neocortex | pyramidal neuron | regular spiking cell | spike,0,1,repositoryvor,Green,,undefined,
4,2-s2.0-85165269041,10.1109/ACCESS.2023.3296783,,,"Deep Reinforcement Learning-Based Charging Price Determination Considering the Coordinated Operation of Hydrogen Fuel Cell Electric Vehicle, Power Network and Transportation Network",ar,Article,Li B.,60030835;60021666;60000937,University of Alberta;Nanjing University of Aeronautics and Astronautics;Shenzhen University,Edmonton;Nanjing;Shenzhen,Canada;China;China,3,"Li, Bei;Li, Jiangchen;Han, Mei",56097150400;55810358600;57190166846,60000937;60021666-60030835;60021666,2023-01-01,2023,IEEE Access,,21100374601,21693536,Journal,11,,,75508-75521,"Currently, hydrogen fuel cell electric vehicles (HFCEVs) are becoming more financially accessible as an alternative to petroleum-powered vehicles, while also decreasing carbon dioxide emissions. However, the coordinated scheduling of HFCEVs refuelling with the operations of hydrogen refuelling stations, electrical power network (PN), and transportation network (TN) represents an integral challenge. This complex problem encompasses a combinatorial mixed-integer nonlinear optimization problem with a sizeable number of decision variables. Existing methods struggle to adequately solve this problem. In this article, deep reinforcement learning (DRL) is deployed to determine the refuelling price to guide the HFCEV refuelling in the TN. First, HFCEV traffic flow model based on the refuelling price in real-world TN is presented. Then, the HFCEVs hydrogen demands in the H2 refuelling station ( H2 RS) microgrid are presented. After that, an IEEE 30 nodes PN exporting electricity to H2 RS microgrids is presented. At last, DRL (DDPG, TD3, SAC, PPO) is deployed to determine the price based on the traffic condition of the TN and the voltage condition of the PN. The simulation results demonstrate that through the DRL price agent, the total travel time of the TN and the total operation costs of the PN are all reduced, and multi agent DDPG and TD3 algorithm have the best performance.",deep reinforcement learning | Hydrogen fuel cell electric vehicle | microgrid | power network | real-time | transportation network,1,1,publisherfullgold,Gold,SZU,000661,Shenzhen University
5,2-s2.0-85144492671,10.1007/978-3-031-12011-4_91,,,Estimation of Willingness to Pay for Reducing Road Accident Risk Using Route Choice Model,cp,Conference Paper,Naznin P.H.S.,60276113;60114900;60004954,Federal Institute of Science And Technology;TKM College of Engineering;National Institute of Technology Karnataka,Angamaly;Kollam;Mangalore,India;India;India,4,"Naznin, P. H.Sumayya;Anandu, V. G.;Panackel, Leena Samuel;Ravishankar, A. U.",58025214900;58026819400;58026793300;54954315600,60004954;60114900;60276113;60004954,2023-01-01,2023,Lecture Notes in Civil Engineering,23662557,21100889404,23662565,Book Series,284,,,1075-1086,"The proportionality of road accidents with urbanization triggers road accident cost analysis, as a prime component in the planning and designing of road projects. However, proper quantification of accidents and analyzing every parameter associated with it is a tedious task and requires expert approaches. This study deals with the cost of road accidents in Thiruvananthapuram city as it houses the most critical accident spots in the state of Kerala. Essential stretches of roads to be analyzed were identified using Accident Severity Index (ASI). A Stated Preference (SP) survey was conducted to estimate the trip-wise mean willingness to pay value (WTP) of road users of the selected road stretches based on logit models. Travel time, travel costs, and accident rates were taken as the attributes. The behavior of individual users was interpreted from the coefficients estimated from the models. The mode-specific variables showed relations consistent with the expectations. The willingness to pay value to avoid a critical accident estimated from the final model was found higher for short trip setting (Rs.1.08/trip), which indicates the importance of safety of the short frequent trips among the road users compared to the longer trip setting (Rs. 0.72/trip).",Logit models | Stated Preference (SP) survey | Willingness to pay (WTP),0,0,,,,undefined,
6,2-s2.0-85141024753,10.1080/00207543.2022.2136283,,,Travel time analysis and dimension optimisation design of double-ended compact storage system,ar,Article,Yan Q.,60026282,Zhejiang University of Technology,Hangzhou,China,6,"Yan, Qing;Lu, Jiansha;Tang, Hongtao;Zhan, Yan;Zhang, Xuemei;Li, Yingde",57214779900;22980087000;56512939300;54394772300;56098285200;35221978600,60026282;60026282;60026282;60026282;60026282;60026282,2023-01-01,2023,International Journal of Production Research,00207543,27656,1366588X,Journal,61,20,,6718-6745,"Considering the storage increasing demand of ‘multi-variety, small-batch' characteristic goods, we developed a new type of compact warehouse a three-dimensional double-ended compact storage system. Compared with the traditional three-dimensional automated storage and retrieval system (AS/RS) and existing three-dimensional compact AS/RS model, the storage system we designed exhibits excellent characteristics such as high density, high throughput efficiency, and more flexible configuration. There are three key points in our work listed as follows. Firstly, we establish the continuous travel time model under specific operating conditions in this new three-dimensional compact warehouse. Secondly, the three-dimensional size of the storage rack is optimised. The optimal three-dimensional proportion of the storage rack is obtained based on the model’s optimal solution. Finally, numerical examples are given to analyse the influence of the I/O port layouts and related parameters on the system throughput efficiency. According to the optimisation results of the system model, a more reasonable rack dimension can be designed, which can provide an effective reference for the construction of a three-dimensional double-ended compact warehouse.",analytical modelling | double-ended storage system | performance analysis | travel time model | Warehouse,1,0,,,ZJNSF,2018C01003,Key Research and Development Program of Zhejiang Province
7,2-s2.0-85136116613,10.1080/00207543.2022.2110536,,,Travel time model for multi-deep automated storage and retrieval systems with different storage strategies,ar,Article,Lehmann T.,60102538,Karlsruher Institut für Technologie,Karlsruhe,Germany,2,"Lehmann, Timo;Hußmann, Jakob",57209241409;57331093200,60102538;60102538,2023-01-01,2023,International Journal of Production Research,00207543,27656,1366588X,Journal,61,16,,5676-5691,"Travel time models for automated storage and retrieval systems (AS/RS) are used to define average travel times during storage/retrieval operations in an AS/RS. With an increasing depth of AS/RS racks, storage goods are stored in front of each other. This can lead to relocation operations of blocking goods causing higher travel times. This paper derives analytically and presents four travel time models for multi-deep AS/RS following four storage allocation strategies. Two models handle random strategies, one minimises the variance of storage channel fillings and the fourth maximises this variance. Evaluation and comparison of different models is followed by a discrete event simulation to verify these models. It is shown that the minimal variance strategy achieves the lowest relocation numbers and also the lowest total travel times, the random strategies perform between the minimal and maximal variance strategy.",analytical modelling | AS/RS | multi-deep storage systems storage allocation strategies | performance analysis | Warehouses,2,1,publisherhybridgold,Hybrid Gold,BMWi,KK5040302DB0,Bundesministerium für Wirtschaft und Energie
8,2-s2.0-85135463261,10.1080/0305215X.2022.2096881,,,Bi-objective operation optimization in multi-shuttle automated storage and retrieval systems to reduce travel time and energy consumption,ar,Article,Yang P.,60108959;60025278,EMLYON Business School;Tsinghua University,Ecully;Beijing,France;China,4,"Yang, Peng;Tao, Peiran;Xu, Ping;Gong, Yeming",55831984900;57832541100;57832213100;24767308200,60025278;60025278;60025278;60108959,2023-01-01,2023,Engineering Optimization,0305215X,29114,10290273,Journal,55,9,,1498-1515,The automated warehouses currently in widespread use maintain highly efficient operations at the cost of consuming a large amount of energy. This study first considers the problem of operation optimization in multi-shuttle automated storage and retrieval systems (AS/RSs) to reduce both time and energy consumption. A time and energy bi-objective integer programming model is proposed to jointly optimize the storage/retrieval (S/R) location assignment and S/R scheduling for a multi-shuttle AS/RS. The adaptive variable neighbourhood search algorithm and Lagrangian relaxation algorithm are developed to tackle large-size instances. The results demonstrate that the bi-objective model is effective at finding the compromise solution considering travel time and energy consumption simultaneously. The decrease in travel time is obtained at the expense of increasing energy consumption and vice versa. The study provides valuable insights for warehouse managers to operate a time-efficient and energy-efficient automated warehouse.,automated warehousing | Logistics | multi-shuttle AS/RS | optimization | travel time and energy consumption,4,0,,,NSFC,JCYJ20180306174223343,National Natural Science Foundation of China
9,2-s2.0-85132647866,10.1080/19427867.2022.2066882,,,A link-node-based complementarity model for traffic equilibrium with ride-sharing and trunk-sharing,ar,Article,Li X.,60122401;60018465,ECUST School of Business;Yanshan University,Shanghai;Qinhuangdao,China;China,4,"Li, Xingyuan;Cheng, Yan;Guo, Lei;Bai, Jing",57221727980;57761505100;56564470000;57221733106,60122401;60122401;60122401;60018465,2023-01-01,2023,Transportation Letters,19427867,21100255479,19427875,Journal,15,6,,465-489,"Trunk-sharing (TS), a nascent ride-sharing (RS)-based crowdsourced delivery service, has been reshaping the pattern of urban logistics and the spatial distribution of urban traffic congestion. However, it is not yet clear how RS and TS interact and affect the urban traffic system. To this end, a link-node-based user equilibrium model -is proposed to describe the users’ decisions in the presence of RS and TS program and thereby to forecast the long-term effects of these two modes and of existed policies, such as car restrictions and cordon tolling. The model is formulated as a nonlinear complementarity problem and the existence of equilibria is proven under some mild conditions. Numerical results showed that integrating RS and TS can dramatically decreases the total travel time. Moreover, car restriction- can incentivize more TS to enter the central business districts (CBDs), while cordon tolling- can incentivize more RS participants to enter the CBDs.",car restriction | cordon tolling | crowdsourced delivery | ride-sharing | trunk-sharing | User equilibrium,0,0,,,NSFC,22ZR1415900,Natural Science Foundation of Shanghai
